gene,D23118_B,D23118_Club,D23118_Endothelial,D23118_Fibroblast,D23118_Macrophage,D23118_Mast,D23118_Neutrophil,D23118_Plasma,D23118_T,D23118_T2P,D23118_pDC,D24118_B,D24118_Club,D24118_Endothelial,D24118_Fibroblast,D24118_Macrophage,D24118_Mast,D24118_Neutrophil,D24118_Plasma,D24118_T,D24118_T2P,D24118_pDC
ABCA3,0.0,0.0,4.0,1.0,739.0,12.0,2.0,0.0,17.0,379.0,1.0,2.0,21.0,6.0,5.0,378.0,3.0,0.0,1.0,11.0,178.0,0.0
ABCA4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA5,0.0,1.0,1.0,4.0,9.0,0.0,0.0,2.0,15.0,5.0,1.0,0.0,2.0,4.0,0.0,31.0,0.0,0.0,0.0,21.0,4.0,0.0
ABCA6,2.0,2.0,0.0,4.0,502.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,26.0,238.0,0.0,0.0,0.0,5.0,7.0,1.0
ABCA7,3.0,1.0,4.0,5.0,340.0,44.0,2.0,0.0,24.0,6.0,9.0,3.0,2.0,6.0,1.0,167.0,7.0,0.0,1.0,53.0,5.0,5.0
ABCA8,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ABCA9,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,2.0,0.0,13.0,1.0,71.0,1.0,0.0,0.0,14.0,22.0,1.0,0.0,0.0,35.0,0.0,36.0,0.0,0.0,0.0,23.0,5.0,0.0
ABCB10,10.0,3.0,17.0,16.0,1107.0,117.0,4.0,0.0,213.0,29.0,6.0,9.0,8.0,16.0,9.0,454.0,36.0,0.0,0.0,183.0,15.0,7.0
ABCB11,0.0,0.0,3.0,1.0,3.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,0.0,0.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB6,0.0,3.0,2.0,7.0,169.0,10.0,0.0,0.0,8.0,10.0,0.0,2.0,11.0,3.0,3.0,98.0,9.0,0.0,0.0,10.0,15.0,2.0
ABCB7,4.0,1.0,2.0,7.0,588.0,20.0,5.0,0.0,62.0,27.0,2.0,4.0,4.0,10.0,4.0,280.0,12.0,1.0,1.0,76.0,15.0,2.0
ABCB8,0.0,0.0,1.0,2.0,103.0,9.0,0.0,1.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,49.0,3.0,0.0,0.0,4.0,2.0,0.0
ABCB9,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
ABCC1,1.0,0.0,3.0,1.0,126.0,28.0,1.0,0.0,24.0,2.0,0.0,0.0,2.0,4.0,1.0,76.0,3.0,0.0,0.0,18.0,1.0,1.0
ABCC10,3.0,0.0,5.0,4.0,286.0,19.0,3.0,1.0,68.0,9.0,2.0,4.0,11.0,8.0,4.0,162.0,6.0,1.0,5.0,85.0,2.0,3.0
ABCC2,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ABCC3,0.0,1.0,6.0,0.0,356.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,6.0,2.0,1.0,124.0,1.0,0.0,0.0,2.0,5.0,1.0
ABCC4,1.0,4.0,4.0,35.0,400.0,213.0,5.0,1.0,23.0,32.0,2.0,1.0,7.0,24.0,14.0,632.0,155.0,0.0,2.0,24.0,16.0,1.0
ABCC5,3.0,5.0,8.0,4.0,416.0,55.0,0.0,0.0,47.0,20.0,0.0,4.0,10.0,7.0,9.0,221.0,17.0,0.0,0.0,50.0,7.0,0.0
ABCC8,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ABCD1,0.0,0.0,3.0,1.0,228.0,11.0,1.0,0.0,15.0,4.0,0.0,2.0,1.0,3.0,3.0,133.0,2.0,0.0,0.0,25.0,5.0,2.0
ABCD2,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0,3.0
ABCD3,1.0,7.0,11.0,10.0,437.0,37.0,1.0,0.0,84.0,161.0,2.0,7.0,21.0,25.0,17.0,282.0,20.0,0.0,3.0,83.0,90.0,1.0
ABCD4,3.0,0.0,11.0,8.0,696.0,22.0,6.0,2.0,75.0,21.0,2.0,12.0,4.0,11.0,2.0,237.0,6.0,2.0,0.0,57.0,10.0,1.0
ABCE1,9.0,0.0,23.0,21.0,1105.0,78.0,17.0,1.0,213.0,65.0,11.0,25.0,20.0,26.0,7.0,717.0,49.0,5.0,10.0,279.0,50.0,12.0
ABCF1,23.0,4.0,50.0,48.0,3003.0,218.0,95.0,6.0,621.0,144.0,32.0,50.0,54.0,70.0,36.0,1491.0,73.0,8.0,22.0,666.0,85.0,14.0
ABCF2,6.0,1.0,15.0,15.0,481.0,38.0,6.0,2.0,104.0,27.0,4.0,17.0,8.0,7.0,4.0,238.0,14.0,3.0,1.0,119.0,10.0,2.0
ABCF3,3.0,0.0,5.0,7.0,274.0,21.0,12.0,0.0,85.0,15.0,1.0,5.0,9.0,10.0,2.0,194.0,4.0,4.0,2.0,80.0,9.0,1.0
ABCG1,5.0,0.0,10.0,11.0,2663.0,34.0,39.0,1.0,68.0,23.0,16.0,12.0,6.0,9.0,11.0,1328.0,2.0,3.0,0.0,88.0,13.0,4.0
ABCG2,0.0,0.0,6.0,2.0,66.0,0.0,0.0,0.0,120.0,2.0,2.0,5.0,1.0,11.0,2.0,22.0,1.0,0.0,2.0,139.0,1.0,1.0
ABCG4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD1,0.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD10,1.0,0.0,2.0,1.0,62.0,6.0,1.0,0.0,11.0,4.0,2.0,2.0,1.0,1.0,4.0,29.0,3.0,0.0,0.0,13.0,3.0,0.0
ABHD11,0.0,1.0,2.0,8.0,167.0,10.0,2.0,0.0,19.0,13.0,0.0,3.0,3.0,3.0,0.0,95.0,2.0,0.0,3.0,29.0,9.0,0.0
ABHD12,13.0,5.0,22.0,31.0,5804.0,100.0,16.0,5.0,198.0,54.0,15.0,31.0,39.0,98.0,6.0,3971.0,41.0,8.0,16.0,215.0,56.0,11.0
ABHD12B,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
ABHD13,7.0,0.0,5.0,5.0,537.0,21.0,8.0,0.0,154.0,30.0,14.0,22.0,10.0,6.0,5.0,264.0,9.0,2.0,0.0,104.0,22.0,6.0
ABHD15,4.0,0.0,3.0,0.0,188.0,7.0,2.0,0.0,60.0,3.0,16.0,10.0,3.0,5.0,0.0,77.0,1.0,1.0,0.0,65.0,6.0,6.0
ABHD16A,7.0,5.0,28.0,26.0,2494.0,196.0,42.0,2.0,199.0,62.0,15.0,16.0,23.0,45.0,16.0,1423.0,68.0,2.0,4.0,268.0,60.0,13.0
ABHD16B,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17A,20.0,2.0,15.0,16.0,467.0,37.0,4.0,4.0,139.0,21.0,4.0,11.0,13.0,9.0,6.0,245.0,12.0,1.0,4.0,126.0,15.0,5.0
ABHD17B,1.0,1.0,2.0,2.0,107.0,8.0,1.0,0.0,17.0,4.0,2.0,0.0,1.0,0.0,0.0,55.0,1.0,0.0,0.0,19.0,3.0,0.0
ABHD18,1.0,1.0,1.0,2.0,125.0,9.0,0.0,0.0,29.0,1.0,1.0,7.0,1.0,4.0,1.0,63.0,4.0,1.0,0.0,22.0,4.0,0.0
ABHD2,9.0,14.0,28.0,27.0,1886.0,245.0,133.0,1.0,298.0,228.0,12.0,17.0,25.0,37.0,12.0,1509.0,58.0,38.0,4.0,344.0,152.0,8.0
ABHD3,2.0,0.0,4.0,2.0,266.0,21.0,5.0,0.0,54.0,8.0,1.0,9.0,8.0,5.0,1.0,112.0,6.0,0.0,0.0,64.0,7.0,0.0
ABHD4,1.0,0.0,4.0,5.0,293.0,25.0,2.0,0.0,42.0,24.0,0.0,6.0,0.0,5.0,4.0,90.0,7.0,1.0,0.0,35.0,6.0,1.0
ABHD5,2.0,1.0,6.0,10.0,919.0,43.0,27.0,1.0,60.0,26.0,1.0,4.0,5.0,16.0,5.0,624.0,22.0,6.0,4.0,130.0,25.0,2.0
ABHD6,0.0,1.0,9.0,4.0,379.0,26.0,13.0,0.0,44.0,14.0,0.0,7.0,14.0,22.0,0.0,192.0,6.0,0.0,2.0,110.0,9.0,4.0
ABHD8,0.0,0.0,1.0,2.0,89.0,6.0,1.0,0.0,19.0,6.0,0.0,0.0,1.0,3.0,1.0,57.0,5.0,0.0,0.0,31.0,4.0,1.0
ABI1,14.0,2.0,18.0,26.0,3295.0,88.0,61.0,2.0,220.0,62.0,10.0,36.0,43.0,37.0,23.0,1864.0,31.0,20.0,5.0,288.0,29.0,10.0
ABI2,2.0,1.0,7.0,11.0,135.0,11.0,0.0,1.0,32.0,20.0,1.0,0.0,9.0,8.0,14.0,79.0,3.0,0.0,0.0,32.0,15.0,0.0
ABI3,1.0,0.0,14.0,3.0,957.0,14.0,3.0,0.0,110.0,11.0,4.0,7.0,1.0,6.0,0.0,369.0,3.0,0.0,1.0,121.0,5.0,1.0
ABI3BP,0.0,0.0,6.0,26.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,62.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
ABL1,0.0,1.0,9.0,10.0,531.0,14.0,0.0,0.0,43.0,24.0,4.0,4.0,3.0,7.0,25.0,287.0,5.0,0.0,0.0,48.0,10.0,0.0
ABL2,1.0,0.0,4.0,15.0,392.0,19.0,9.0,1.0,44.0,28.0,1.0,4.0,5.0,8.0,31.0,241.0,6.0,0.0,1.0,35.0,8.0,0.0
ABLIM1,58.0,7.0,23.0,18.0,252.0,32.0,9.0,3.0,1097.0,28.0,30.0,162.0,75.0,32.0,26.0,95.0,3.0,8.0,1.0,1122.0,42.0,14.0
ABLIM2,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ABLIM3,0.0,0.0,6.0,0.0,5.0,1.0,1.0,0.0,2.0,17.0,0.0,0.0,2.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,16.0,0.0
ABO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABR,4.0,3.0,13.0,26.0,3849.0,92.0,95.0,2.0,358.0,74.0,11.0,13.0,22.0,39.0,12.0,1680.0,23.0,16.0,1.0,307.0,26.0,2.0
ABRACL,15.0,0.0,15.0,11.0,1577.0,116.0,17.0,2.0,378.0,40.0,31.0,26.0,26.0,23.0,17.0,967.0,52.0,6.0,3.0,645.0,47.0,25.0
ABT1,0.0,1.0,6.0,2.0,267.0,16.0,8.0,0.0,97.0,13.0,2.0,13.0,4.0,3.0,1.0,108.0,13.0,1.0,0.0,99.0,12.0,2.0
ABTB1,5.0,1.0,3.0,3.0,323.0,15.0,50.0,0.0,57.0,6.0,2.0,5.0,6.0,6.0,2.0,124.0,3.0,14.0,0.0,61.0,8.0,0.0
ABTB2,1.0,0.0,0.0,2.0,27.0,1.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,5.0,4.0,0.0
ACAA1,6.0,2.0,22.0,5.0,1791.0,62.0,15.0,0.0,97.0,44.0,7.0,14.0,10.0,25.0,12.0,709.0,21.0,2.0,7.0,66.0,26.0,9.0
ACAA2,8.0,6.0,19.0,13.0,2337.0,77.0,5.0,3.0,184.0,399.0,7.0,16.0,27.0,28.0,18.0,788.0,23.0,2.0,3.0,138.0,83.0,6.0
ACACA,2.0,0.0,11.0,4.0,105.0,6.0,0.0,1.0,32.0,19.0,1.0,3.0,3.0,4.0,2.0,53.0,1.0,0.0,0.0,28.0,13.0,3.0
ACACB,1.0,0.0,1.0,0.0,18.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,7.0,25.0,1.0,0.0,0.0,3.0,1.0,0.0
ACAD10,1.0,0.0,0.0,7.0,151.0,6.0,3.0,1.0,19.0,15.0,0.0,1.0,1.0,1.0,4.0,61.0,3.0,0.0,2.0,12.0,5.0,0.0
ACAD11,1.0,1.0,2.0,1.0,266.0,7.0,3.0,0.0,23.0,21.0,0.0,2.0,4.0,5.0,1.0,108.0,2.0,0.0,2.0,18.0,9.0,0.0
ACAD8,0.0,1.0,0.0,0.0,23.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,15.0,2.0,0.0
ACAD9,6.0,0.0,9.0,17.0,463.0,30.0,2.0,2.0,64.0,21.0,2.0,6.0,13.0,5.0,8.0,206.0,15.0,0.0,4.0,33.0,13.0,3.0
ACADL,0.0,0.0,1.0,0.0,51.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,29.0,0.0,0.0,0.0,1.0,2.0,0.0
ACADM,2.0,1.0,10.0,12.0,936.0,46.0,6.0,3.0,99.0,42.0,3.0,4.0,12.0,10.0,5.0,415.0,19.0,1.0,11.0,94.0,20.0,6.0
ACADS,1.0,2.0,4.0,9.0,318.0,24.0,2.0,0.0,28.0,13.0,1.0,4.0,3.0,2.0,3.0,202.0,16.0,0.0,0.0,98.0,4.0,0.0
ACADSB,1.0,1.0,5.0,6.0,345.0,32.0,3.0,0.0,51.0,24.0,1.0,1.0,7.0,6.0,6.0,180.0,5.0,0.0,2.0,80.0,11.0,5.0
ACAN,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
ACAP1,12.0,0.0,0.0,3.0,296.0,53.0,9.0,0.0,322.0,10.0,16.0,16.0,13.0,1.0,2.0,107.0,17.0,0.0,4.0,363.0,6.0,10.0
ACAP2,28.0,6.0,37.0,40.0,3917.0,279.0,148.0,5.0,661.0,70.0,19.0,75.0,38.0,67.0,31.0,1913.0,92.0,34.0,5.0,850.0,75.0,31.0
ACAP3,3.0,0.0,8.0,8.0,189.0,7.0,1.0,1.0,31.0,7.0,4.0,3.0,6.0,4.0,3.0,101.0,3.0,0.0,0.0,34.0,3.0,0.0
ACAT1,3.0,3.0,5.0,15.0,627.0,46.0,4.0,0.0,99.0,32.0,12.0,3.0,15.0,14.0,15.0,335.0,16.0,1.0,7.0,113.0,16.0,21.0
ACAT2,2.0,1.0,6.0,16.0,481.0,21.0,13.0,1.0,152.0,29.0,5.0,17.0,9.0,5.0,7.0,273.0,11.0,1.0,3.0,194.0,18.0,4.0
ACBD3,8.0,4.0,22.0,30.0,885.0,52.0,8.0,2.0,211.0,49.0,9.0,18.0,18.0,14.0,24.0,494.0,20.0,4.0,11.0,201.0,29.0,0.0
ACBD4,0.0,1.0,1.0,2.0,67.0,4.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,27.0,6.0,0.0,0.0,3.0,0.0,0.0
ACBD5,3.0,5.0,10.0,5.0,901.0,29.0,6.0,1.0,59.0,30.0,0.0,2.0,11.0,19.0,2.0,485.0,10.0,0.0,2.0,98.0,15.0,0.0
ACBD6,4.0,0.0,13.0,14.0,721.0,33.0,4.0,0.0,66.0,43.0,3.0,10.0,11.0,5.0,12.0,302.0,13.0,0.0,0.0,48.0,22.0,1.0
ACCS,2.0,0.0,4.0,3.0,146.0,23.0,0.0,1.0,9.0,11.0,0.0,1.0,3.0,3.0,4.0,51.0,5.0,0.0,0.0,12.0,10.0,0.0
ACCSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACD,1.0,0.0,0.0,2.0,66.0,11.0,1.0,0.0,24.0,3.0,0.0,0.0,1.0,1.0,1.0,26.0,5.0,0.0,0.0,31.0,2.0,0.0
ACE2,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
ACER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACER2,1.0,1.0,3.0,0.0,25.0,1.0,0.0,0.0,5.0,5.0,0.0,4.0,0.0,3.0,1.0,15.0,3.0,0.0,0.0,4.0,3.0,0.0
ACER3,1.0,1.0,10.0,8.0,462.0,49.0,3.0,0.0,13.0,16.0,1.0,2.0,5.0,12.0,2.0,325.0,11.0,2.0,2.0,33.0,4.0,2.0
ACHE,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIN1,29.0,6.0,51.0,46.0,1927.0,177.0,34.0,6.0,675.0,88.0,16.0,49.0,46.0,35.0,38.0,1074.0,48.0,8.0,17.0,754.0,64.0,19.0
ACKR1,0.0,0.0,47.0,3.0,63.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,212.0,4.0,24.0,0.0,0.0,0.0,1.0,6.0,0.0
ACKR2,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACKR3,0.0,0.0,4.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,6.0,0.0,0.0,1.0,2.0,1.0,1.0
ACKR4,0.0,1.0,2.0,5.0,19.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,4.0,5.0,22.0,0.0,0.0,0.0,0.0,11.0,0.0
ACLY,11.0,0.0,20.0,23.0,1182.0,117.0,19.0,1.0,245.0,51.0,17.0,22.0,25.0,34.0,12.0,576.0,52.0,10.0,6.0,280.0,45.0,9.0
ACMSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACO1,2.0,0.0,8.0,28.0,1793.0,40.0,4.0,0.0,21.0,60.0,0.0,3.0,22.0,20.0,4.0,1215.0,12.0,0.0,1.0,35.0,33.0,0.0
ACO2,6.0,2.0,16.0,33.0,2095.0,88.0,13.0,4.0,188.0,78.0,33.0,19.0,19.0,28.0,20.0,1110.0,40.0,3.0,12.0,236.0,35.0,16.0
ACOT11,0.0,0.0,0.0,4.0,123.0,1.0,1.0,0.0,25.0,0.0,0.0,1.0,1.0,0.0,0.0,85.0,1.0,0.0,0.0,15.0,3.0,0.0
ACOT13,2.0,1.0,5.0,5.0,237.0,25.0,1.0,0.0,28.0,13.0,0.0,6.0,3.0,5.0,2.0,155.0,4.0,1.0,3.0,39.0,17.0,0.0
ACOT2,5.0,4.0,6.0,13.0,623.0,54.0,3.0,1.0,91.0,38.0,3.0,7.0,9.0,9.0,16.0,241.0,14.0,1.0,5.0,69.0,11.0,1.0
ACOT4,0.0,0.0,0.0,0.0,44.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0
ACOT6,0.0,0.0,1.0,1.0,116.0,7.0,1.0,0.0,9.0,8.0,2.0,0.0,1.0,0.0,0.0,46.0,3.0,0.0,1.0,12.0,4.0,0.0
ACOT7,1.0,1.0,5.0,2.0,118.0,88.0,0.0,0.0,197.0,31.0,4.0,0.0,3.0,2.0,1.0,52.0,27.0,0.0,1.0,205.0,9.0,1.0
ACOT8,3.0,3.0,1.0,12.0,413.0,28.0,6.0,0.0,76.0,23.0,1.0,9.0,8.0,10.0,3.0,245.0,8.0,1.0,6.0,72.0,16.0,4.0
ACOT9,3.0,1.0,3.0,8.0,760.0,37.0,10.0,0.0,56.0,30.0,2.0,5.0,6.0,16.0,6.0,358.0,3.0,1.0,2.0,70.0,14.0,0.0
ACOX1,4.0,5.0,12.0,15.0,1182.0,66.0,6.0,2.0,125.0,42.0,5.0,11.0,18.0,22.0,8.0,588.0,23.0,4.0,0.0,144.0,30.0,3.0
