gene,D23118_B,D23118_Club,D23118_Endothelial,D23118_Fibroblast,D23118_Macrophage,D23118_Mast,D23118_Neutrophil,D23118_Plasma,D23118_T,D23118_T2P,D23118_pDC,D24118_B,D24118_Club,D24118_Endothelial,D24118_Fibroblast,D24118_Macrophage,D24118_Mast,D24118_Neutrophil,D24118_Plasma,D24118_T,D24118_T2P,D24118_pDC
A2ML1,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
A4GALT,0.0,1.0,7.0,12.0,483.0,9.0,28.0,0.0,15.0,22.0,3.0,5.0,9.0,23.0,7.0,376.0,0.0,1.0,0.0,8.0,17.0,1.0
AAAS,3.0,2.0,3.0,10.0,162.0,13.0,1.0,0.0,50.0,7.0,0.0,0.0,3.0,5.0,2.0,81.0,7.0,0.0,5.0,44.0,9.0,2.0
AACS,1.0,2.0,2.0,7.0,283.0,41.0,1.0,2.0,131.0,35.0,6.0,4.0,8.0,6.0,2.0,136.0,18.0,1.0,4.0,151.0,21.0,1.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,0.0,0.0,0.0,0.0,29.0,4.0,0.0,0.0,2.0,37.0,5.0,0.0,2.0,0.0,1.0,16.0,1.0,0.0,0.0,1.0,15.0,5.0
AAED1,7.0,1.0,12.0,7.0,359.0,22.0,6.0,1.0,73.0,15.0,1.0,15.0,10.0,4.0,1.0,222.0,14.0,0.0,1.0,91.0,17.0,0.0
AAGAB,2.0,0.0,2.0,5.0,443.0,26.0,7.0,2.0,46.0,13.0,1.0,4.0,11.0,7.0,2.0,220.0,8.0,1.0,1.0,71.0,10.0,7.0
AAK1,2.0,1.0,3.0,2.0,148.0,9.0,6.0,0.0,49.0,5.0,1.0,1.0,2.0,5.0,1.0,85.0,6.0,1.0,0.0,56.0,6.0,0.0
AAMDC,1.0,2.0,7.0,7.0,292.0,22.0,2.0,0.0,50.0,8.0,4.0,4.0,9.0,7.0,11.0,166.0,6.0,1.0,0.0,37.0,6.0,3.0
AAMP,7.0,1.0,18.0,17.0,1120.0,59.0,8.0,2.0,148.0,68.0,8.0,10.0,16.0,12.0,9.0,514.0,21.0,1.0,4.0,138.0,37.0,11.0
AANAT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AAR2,2.0,2.0,2.0,4.0,298.0,19.0,1.0,0.0,65.0,11.0,3.0,6.0,1.0,2.0,5.0,122.0,9.0,0.0,1.0,55.0,9.0,2.0
AARD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
AARS,7.0,1.0,3.0,6.0,424.0,33.0,6.0,2.0,102.0,23.0,5.0,10.0,2.0,11.0,4.0,234.0,17.0,2.0,1.0,93.0,13.0,1.0
AARS2,3.0,0.0,3.0,2.0,240.0,20.0,2.0,1.0,47.0,11.0,1.0,4.0,3.0,1.0,2.0,106.0,4.0,0.0,0.0,39.0,4.0,0.0
AARSD1,0.0,0.0,7.0,6.0,294.0,30.0,3.0,2.0,50.0,23.0,1.0,2.0,6.0,1.0,3.0,125.0,8.0,1.0,1.0,38.0,9.0,3.0
AASDH,1.0,0.0,4.0,3.0,59.0,7.0,0.0,0.0,17.0,5.0,1.0,0.0,1.0,2.0,0.0,27.0,2.0,0.0,0.0,20.0,5.0,2.0
AASDHPPT,4.0,0.0,10.0,6.0,426.0,19.0,4.0,1.0,73.0,21.0,9.0,9.0,3.0,3.0,6.0,192.0,9.0,1.0,4.0,104.0,15.0,1.0
AASS,3.0,0.0,3.0,7.0,86.0,5.0,4.0,0.0,11.0,14.0,0.0,3.0,4.0,2.0,7.0,69.0,1.0,0.0,1.0,20.0,18.0,0.0
AATF,4.0,1.0,10.0,12.0,754.0,107.0,24.0,0.0,186.0,24.0,12.0,14.0,18.0,11.0,2.0,388.0,33.0,7.0,3.0,191.0,17.0,2.0
AATK,0.0,0.0,1.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,1.0,2.0,0.0,5.0,3.0,0.0
ABAT,1.0,1.0,1.0,9.0,284.0,15.0,0.0,0.0,19.0,5.0,0.0,0.0,2.0,4.0,2.0,89.0,7.0,0.0,0.0,25.0,2.0,0.0
ABCA1,2.0,0.0,20.0,20.0,3489.0,56.0,89.0,1.0,100.0,45.0,2.0,10.0,13.0,72.0,36.0,2163.0,18.0,11.0,3.0,85.0,35.0,0.0
ABCA12,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
ABCA13,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA2,0.0,1.0,1.0,0.0,26.0,0.0,4.0,0.0,18.0,4.0,0.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,15.0,1.0,0.0
