,title,geo_accession,source_name,organism,taxid,tissue,biosample,cell type,subjid,granuloma,cfu,cell_ct
22,CD4_DFN0_2_AB2802,GSM7104675,Lung,Macaca mulatta,9544,Lung,AB2802,CD4 granuloma T cell,DFN0,2,1160,14962
23,CD8_DFN0_2_AB2803,GSM7104676,Lung,Macaca mulatta,9544,Lung,AB2803,CD8 granuloma T cell,DFN0,2,1160,21229
24,CD4_DFN0_3_AB2804,GSM7104677,Lung,Macaca mulatta,9544,Lung,AB2804,CD4 granuloma T cell,DFN0,3,24800,2307
25,CD8_DFN0_3_AB2805,GSM7104678,Lung,Macaca mulatta,9544,Lung,AB2805,CD8 granuloma T cell,DFN0,3,24800,6109
26,CD8_DFN0_5_AB2809,GSM7104679,Lung,Macaca mulatta,9544,Lung,AB2809,CD8 granuloma T cell,DFN0,5,300,11742
27,CD4_DFN0_6_AB2810,GSM7104680,Lung,Macaca mulatta,9544,Lung,AB2810,CD4 granuloma T cell,DFN0,6,400,15918
28,CD8_DFN0_6_AB2811,GSM7104681,Lung,Macaca mulatta,9544,Lung,AB2811,CD8 granuloma T cell,DFN0,6,400,23264
29,CD4_DFN0_7_AB2812,GSM7104682,Lung,Macaca mulatta,9544,Lung,AB2812,CD4 granuloma T cell,DFN0,7,28000,8141
30,CD4_DFN0_8_AB2814,GSM7104683,Lung,Macaca mulatta,9544,Lung,AB2814,CD4 granuloma T cell,DFN0,8,26600,12286
31,CD4_DFN0_9_AB2816,GSM7104684,Lung,Macaca mulatta,9544,Lung,AB2816,CD4 granuloma T cell,DFN0,9,580,16591
32,CD8_DFN0_9_AB2817,GSM7104685,Lung,Macaca mulatta,9544,Lung,AB2817,CD8 granuloma T cell,DFN0,9,580,33131
33,CD4_DFN0_10_AB2818,GSM7104686,Lung,Macaca mulatta,9544,Lung,AB2818,CD4 granuloma T cell,DFN0,10,14000,5665
34,CD8_DFN0_10_AB2819,GSM7104687,Lung,Macaca mulatta,9544,Lung,AB2819,CD8 granuloma T cell,DFN0,10,14000,10419
35,CD4_DFN0_11_AB2820,GSM7104688,Lung,Macaca mulatta,9544,Lung,AB2820,CD4 granuloma T cell,DFN0,11,960,8833
36,CD8_DFN0_11_AB2821,GSM7104689,Lung,Macaca mulatta,9544,Lung,AB2821,CD8 granuloma T cell,DFN0,11,960,16766
37,CD4_DFN0_12_AB2822,GSM7104690,Lung,Macaca mulatta,9544,Lung,AB2822,CD4 granuloma T cell,DFN0,12,27800,16396
38,CD4_DFN0_13_AB2824,GSM7104691,Lung,Macaca mulatta,9544,Lung,AB2824,CD4 granuloma T cell,DFN0,13,700,6206
39,CD8_DFN0_13_AB2825,GSM7104692,Lung,Macaca mulatta,9544,Lung,AB2825,CD8 granuloma T cell,DFN0,13,700,10607
40,CD4_DFN0_14_AB2826,GSM7104693,Lung,Macaca mulatta,9544,Lung,AB2826,CD4 granuloma T cell,DFN0,14,4200,5108
41,CD8_DFN0_15_AB2829,GSM7104694,Lung,Macaca mulatta,9544,Lung,AB2829,CD8 granuloma T cell,DFN0,15,1880,2620
42,CD4_DFN0_16_AB2830,GSM7104695,Lung,Macaca mulatta,9544,Lung,AB2830,CD4 granuloma T cell,DFN0,16,6800,4106
43,CD8_DFN0_16_AB2831,GSM7104696,Lung,Macaca mulatta,9544,Lung,AB2831,CD8 granuloma T cell,DFN0,16,6800,8244
44,CD4_DFN0_17_AB2832,GSM7104697,Lung,Macaca mulatta,9544,Lung,AB2832,CD4 granuloma T cell,DFN0,17,27000,4899
45,CD4_DFN0_18_AB2834,GSM7104698,Lung,Macaca mulatta,9544,Lung,AB2834,CD4 granuloma T cell,DFN0,18,5800,14910
46,CD8_DFN0_18_AB2835,GSM7104699,Lung,Macaca mulatta,9544,Lung,AB2835,CD8 granuloma T cell,DFN0,18,5800,20617
47,CD4_DFN0_19_AB2836,GSM7104700,Lung,Macaca mulatta,9544,Lung,AB2836,CD4 granuloma T cell,DFN0,19,2340,7369
48,CD8_DFN0_19_AB2837,GSM7104701,Lung,Macaca mulatta,9544,Lung,AB2837,CD8 granuloma T cell,DFN0,19,2340,15373
49,CD4_DFN0_20_AB2838,GSM7104702,Lung,Macaca mulatta,9544,Lung,AB2838,CD4 granuloma T cell,DFN0,20,5800,7512
50,CD8_DFN0_20_AB2839,GSM7104703,Lung,Macaca mulatta,9544,Lung,AB2839,CD8 granuloma T cell,DFN0,20,5800,15285
51,CD4_DF4A_4_AB2961,GSM7104704,Lung,Macaca mulatta,9544,Lung,AB2961,CD4 granuloma T cell,DF4A,4,1560,31896
52,CD4_DFN0_4_AB2962,GSM7104705,Lung,Macaca mulatta,9544,Lung,AB2962,CD4 granuloma T cell,DFN0,4,1560,9510
