,title,geo_accession,source_name,organism,taxid,tissue,biosample,cell type,subjid,granuloma,cfu,cell_ct
0,CD8_DF4A_1_AB2689,GSM7104653,Lung,Macaca mulatta,9544,Lung,AB2689,CD8 granuloma T cell,DF4A,1,480,2222
1,CD8_DF4A_4_AB2693,GSM7104654,Lung,Macaca mulatta,9544,Lung,AB2693,CD8 granuloma T cell,DF4A,4,1560,20406
2,CD4_DF4A_5_AB2694,GSM7104655,Lung,Macaca mulatta,9544,Lung,AB2694,CD4 granuloma T cell,DF4A,5,300,2394
3,CD8_DF4A_7_AB2699,GSM7104656,Lung,Macaca mulatta,9544,Lung,AB2699,CD8 granuloma T cell,DF4A,7,28000,7243
4,CD4_DF4A_9_AB2702,GSM7104657,Lung,Macaca mulatta,9544,Lung,AB2702,CD4 granuloma T cell,DF4A,9,560,6800
5,CD8_DF4A_9_AB2703,GSM7104658,Lung,Macaca mulatta,9544,Lung,AB2703,CD8 granuloma T cell,DF4A,9,560,4388
6,CD4_DF4A_10_AB2704,GSM7104659,Lung,Macaca mulatta,9544,Lung,AB2704,CD4 granuloma T cell,DF4A,10,14000,2982
7,CD4_DF4A_11_AB2706,GSM7104660,Lung,Macaca mulatta,9544,Lung,AB2706,CD4 granuloma T cell,DF4A,11,960,6847
8,CD4_DF4A_13_AB2710,GSM7104661,Lung,Macaca mulatta,9544,Lung,AB2710,CD4 granuloma T cell,DF4A,13,700,13065
9,CD4_DF4A_14_AB2712,GSM7104662,Lung,Macaca mulatta,9544,Lung,AB2712,CD4 granuloma T cell,DF4A,14,4200,17021
10,CD8_DF4A_15_AB2715,GSM7104663,Lung,Macaca mulatta,9544,Lung,AB2715,CD8 granuloma T cell,DF4A,15,1880,3527
11,CD8_DF8B_12_AB2737,GSM7104664,Lung,Macaca mulatta,9544,Lung,AB2737,CD8 granuloma T cell,DF8B,12,100,1009
12,CD4_DF8B_13_AB2738,GSM7104665,Lung,Macaca mulatta,9544,Lung,AB2738,CD4 granuloma T cell,DF8B,13,10800,2552
13,CD4_DF8B_14_AB2740,GSM7104666,Lung,Macaca mulatta,9544,Lung,AB2740,CD4 granuloma T cell,DF8B,14,7800,446
14,CD8_DF8B_14_AB2741,GSM7104667,Lung,Macaca mulatta,9544,Lung,AB2741,CD8 granuloma T cell,DF8B,14,7800,630
15,CD4_DF8B_20_AB2750,GSM7104668,Lung,Macaca mulatta,9544,Lung,AB2750,CD4 granuloma T cell,DF8B,20,200,524
16,CD8_0DH_1_AB2765,GSM7104669,Lung,Macaca mulatta,9544,Lung,AB2765,CD8 granuloma T cell,0DH,1,25000,1900
17,CD8_0DH_2_AB2767,GSM7104670,Lung,Macaca mulatta,9544,Lung,AB2767,CD8 granuloma T cell,0DH,2,2320,176
18,CD4_0DH_4_AB2770,GSM7104671,Lung,Macaca mulatta,9544,Lung,AB2770,CD4 granuloma T cell,0DH,4,5800,1028
19,CD8_0DH_4_AB2771,GSM7104672,Lung,Macaca mulatta,9544,Lung,AB2771,CD8 granuloma T cell,0DH,4,5800,1054
20,CD4_0DH_6_AB2774,GSM7104673,Lung,Macaca mulatta,9544,Lung,AB2774,CD4 granuloma T cell,0DH,6,3800,645
21,CD8_0DH_15_AB2793,GSM7104674,Lung,Macaca mulatta,9544,Lung,AB2793,CD8 granuloma T cell,0DH,15,11800,1134
