Gene stable ID	HGNC symbol	Gene type	UniProtKB Gene Name symbol	Gene name
ENSMMUG00000055490		protein_coding	TFB2M	TFB2M
ENSMMUG00000055003		lncRNA		
ENSMMUG00000056502		protein_coding		
ENSMMUG00000055345		Y_RNA		Y_RNA
ENSMMUG00000026049		Y_RNA		Y_RNA
ENSMMUG00000005777		protein_coding	SMYD3	SMYD3
ENSMMUG00000005777		protein_coding	SMYD3	SMYD3
ENSMMUG00000005777		protein_coding	SMYD3	SMYD3
ENSMMUG00000005777		protein_coding	SMYD3	SMYD3
ENSMMUG00000005777		protein_coding	SMYD3	SMYD3
ENSMMUG00000005777		protein_coding	SMYD3	SMYD3
ENSMMUG00000024556		snRNA		U6
ENSMMUG00000008153		protein_coding	NPR1	NPR1
ENSMMUG00000008153		protein_coding	NPR1	NPR1
ENSMMUG00000008153		protein_coding	NPR1	NPR1
ENSMMUG00000017324		protein_coding	KIF26B	KIF26B
ENSMMUG00000017324		protein_coding	KIF26B	KIF26B
ENSMMUG00000050220		processed_pseudogene		
ENSMMUG00000052401		misc_RNA		Metazoa_SRP
ENSMMUG00000059892		misc_RNA		Metazoa_SRP
ENSMMUG00000027317		snRNA		U1
ENSMMUG00000008847		protein_coding	SH2D5	SH2D5
ENSMMUG00000011424		protein_coding	EFCAB2	EFCAB2
ENSMMUG00000011424		protein_coding	EFCAB2	EFCAB2
ENSMMUG00000011424		protein_coding	EFCAB2	EFCAB2
ENSMMUG00000011424		protein_coding	EFCAB2	EFCAB2
ENSMMUG00000057396		misc_RNA		Metazoa_SRP
ENSMMUG00000036930		snRNA		U6
ENSMMUG00000060683		miRNA		mml-mir-7180
ENSMMUG00000023150		protein_coding	KIAA1143	KIAA1143
ENSMMUG00000051140		snRNA		U6
ENSMMUG00000053368		protein_coding		
ENSMMUG00000036090		snRNA		U6
ENSMMUG00000050136		misc_RNA		Metazoa_SRP
ENSMMUG00000060516		lncRNA		
ENSMMUG00000054234		protein_coding	SERP1	SERP1
ENSMMUG00000021098		protein_coding	HNRNPU	HNRNPU
ENSMMUG00000021098		protein_coding	HNRNPU	HNRNPU
ENSMMUG00000013353		protein_coding		
ENSMMUG00000059986		protein_coding		
ENSMMUG00000062668		snRNA		U6
ENSMMUG00000058292		lncRNA		
ENSMMUG00000031175		protein_coding	COX20	COX20
ENSMMUG00000031175		protein_coding	COX20	COX20
ENSMMUG00000048085		lncRNA		
ENSMMUG00000062648		protein_coding		
ENSMMUG00000054073		pseudogene		
ENSMMUG00000057626		protein_coding		
ENSMMUG00000018525		protein_coding	PSEN2	PSEN2
ENSMMUG00000022310		protein_coding	DESI2	DESI2
ENSMMUG00000022310		protein_coding	DESI2	DESI2
ENSMMUG00000058133		lncRNA		
ENSMMUG00000052237		misc_RNA		Metazoa_SRP
ENSMMUG00000012031		protein_coding	COL8A2	COL8A2
ENSMMUG00000000021		protein_coding	CATSPERE	CATSPERE
ENSMMUG00000000021		protein_coding	CATSPERE	CATSPERE
ENSMMUG00000008636		protein_coding	COQ8A	COQ8A
ENSMMUG00000050632		protein_coding	ADPRS	ADPRS
ENSMMUG00000050632		protein_coding	ADPRS	ADPRS
ENSMMUG00000050632		protein_coding	ADPRS	ADPRS
ENSMMUG00000050632		protein_coding	ADPRS	ADPRS
ENSMMUG00000021388		protein_coding	CIART	CIART
ENSMMUG00000062093		protein_coding		
ENSMMUG00000000016		protein_coding	ADSS2	ADSS2
ENSMMUG00000012028		protein_coding	TEKT2	TEKT2
ENSMMUG00000010176		protein_coding	DTL	DTL
ENSMMUG00000010176		protein_coding	DTL	DTL
ENSMMUG00000000015		protein_coding	C1H1orf100	C1H1orf100
ENSMMUG00000058747		lncRNA		
ENSMMUG00000059503		misc_RNA		Metazoa_SRP
ENSMMUG00000053405		misc_RNA		Metazoa_SRP
ENSMMUG00000058339		lncRNA		
ENSMMUG00000041413		miRNA		mml-mir-3122
ENSMMUG00000006252		protein_coding	AGO3	AGO3
ENSMMUG00000006252		protein_coding	AGO3	AGO3
ENSMMUG00000006252		protein_coding	AGO3	AGO3
ENSMMUG00000048772		lncRNA		
ENSMMUG00000050870		snRNA		U6
ENSMMUG00000039543		misc_RNA		Metazoa_SRP
ENSMMUG00000053438		lncRNA		
ENSMMUG00000047935		lncRNA		
ENSMMUG00000011832		protein_coding	E2F2	E2F2
ENSMMUG00000055596		misc_RNA		Metazoa_SRP
ENSMMUG00000008149		protein_coding	ILF2	ILF2
ENSMMUG00000008149		protein_coding	ILF2	ILF2
ENSMMUG00000008149		protein_coding	ILF2	ILF2
ENSMMUG00000015664		protein_coding	ZBTB18	ZBTB18
ENSMMUG00000061500		protein_coding		
ENSMMUG00000019771		protein_coding	PPP2R5A	PPP2R5A
ENSMMUG00000019771		protein_coding	PPP2R5A	PPP2R5A
ENSMMUG00000019771		protein_coding	PPP2R5A	PPP2R5A
ENSMMUG00000019771		protein_coding	PPP2R5A	PPP2R5A
ENSMMUG00000063991		protein_coding		
ENSMMUG00000058567		lncRNA		
ENSMMUG00000055600		lncRNA		
ENSMMUG00000058282		lncRNA		
ENSMMUG00000044406		protein_coding	POU3F1	POU3F1
ENSMMUG00000049847		protein_coding		
ENSMMUG00000026424	SNORA16B	snoRNA		SNORA16B
ENSMMUG00000055817		misc_RNA		Metazoa_SRP
ENSMMUG00000042021		protein_coding	ASAP3	ASAP3
ENSMMUG00000006251		protein_coding	AGO1	AGO1
ENSMMUG00000006251		protein_coding	AGO1	AGO1
ENSMMUG00000002141		protein_coding	PACC1	PACC1
ENSMMUG00000002141		protein_coding	PACC1	PACC1
ENSMMUG00000008836		protein_coding	DDOST	DDOST
ENSMMUG00000008836		protein_coding	DDOST	DDOST
ENSMMUG00000008836		protein_coding	DDOST	DDOST
ENSMMUG00000008836		protein_coding	DDOST	DDOST
ENSMMUG00000002142		protein_coding	NENF	NENF
ENSMMUG00000019995		protein_coding	AKT3	AKT3
ENSMMUG00000019995		protein_coding	AKT3	AKT3
ENSMMUG00000019995		protein_coding	AKT3	AKT3
ENSMMUG00000000932		protein_coding	PPP2R3A	PPP2R3A
ENSMMUG00000000932		protein_coding	PPP2R3A	PPP2R3A
ENSMMUG00000000932		protein_coding	PPP2R3A	PPP2R3A
ENSMMUG00000053224		protein_coding	SNAPIN	SNAPIN
ENSMMUG00000015158		protein_coding	SLC6A9	SLC6A9
ENSMMUG00000015158		protein_coding	SLC6A9	SLC6A9
ENSMMUG00000015158		protein_coding	SLC6A9	SLC6A9
ENSMMUG00000015158		protein_coding	SLC6A9	SLC6A9
ENSMMUG00000015158		protein_coding	SLC6A9	SLC6A9
ENSMMUG00000015158		protein_coding	SLC6A9	SLC6A9
ENSMMUG00000015158		protein_coding	SLC6A9	SLC6A9
ENSMMUG00000015158		protein_coding	SLC6A9	SLC6A9
ENSMMUG00000022196		protein_coding	GPR160	GPR160
ENSMMUG00000008835		protein_coding	PINK1	PINK1
ENSMMUG00000008146		protein_coding	CHTOP	CHTOP
ENSMMUG00000008146		protein_coding	CHTOP	CHTOP
ENSMMUG00000008146		protein_coding	CHTOP	CHTOP
ENSMMUG00000008146		protein_coding	CHTOP	CHTOP
ENSMMUG00000064143		misc_RNA		Metazoa_SRP
ENSMMUG00000034148		snRNA		U4
ENSMMUG00000010977		protein_coding	TCEA3	TCEA3
ENSMMUG00000010977		protein_coding	TCEA3	TCEA3
ENSMMUG00000008145	S100A1	protein_coding	S100A1	S100A1
ENSMMUG00000056564		protein_coding	CDA	CDA
ENSMMUG00000056564		protein_coding	CDA	CDA
ENSMMUG00000003304		protein_coding	EPHB3	EPHB3
ENSMMUG00000003304		protein_coding	EPHB3	EPHB3
ENSMMUG00000003304		protein_coding	EPHB3	EPHB3
ENSMMUG00000003304		protein_coding	EPHB3	EPHB3
ENSMMUG00000015156		protein_coding	CCDC24	CCDC24
ENSMMUG00000057586	S100A13	protein_coding	S100A13	S100A13
ENSMMUG00000031508		protein_coding		
ENSMMUG00000054804		misc_RNA		Metazoa_SRP
ENSMMUG00000003343		protein_coding	AGO4	AGO4
ENSMMUG00000003343		protein_coding	AGO4	AGO4
ENSMMUG00000060391		protein_coding		
ENSMMUG00000055518	S100A14	protein_coding	S100A14	S100A14
ENSMMUG00000000933		protein_coding	MSL2	MSL2
ENSMMUG00000025174		Y_RNA		Y_RNA
ENSMMUG00000057562		protein_coding		
ENSMMUG00000050612		misc_RNA		Metazoa_SRP
ENSMMUG00000057322		lncRNA		
ENSMMUG00000064198		protein_coding		
ENSMMUG00000063790		protein_coding		
ENSMMUG00000051858		lncRNA		
ENSMMUG00000015155		protein_coding	B4GALT2	B4GALT2
ENSMMUG00000015155		protein_coding	B4GALT2	B4GALT2
ENSMMUG00000015155		protein_coding	B4GALT2	B4GALT2
ENSMMUG00000050796		protein_coding	FAM43B	FAM43B
ENSMMUG00000045106		protein_coding	S100A16	S100A16
ENSMMUG00000061927		misc_RNA		Metazoa_SRP
ENSMMUG00000008638		protein_coding	CDC42BPA	CDC42BPA
ENSMMUG00000008638		protein_coding	CDC42BPA	CDC42BPA
ENSMMUG00000008638		protein_coding	CDC42BPA	CDC42BPA
ENSMMUG00000008638		protein_coding	CDC42BPA	CDC42BPA
ENSMMUG00000008638		protein_coding	CDC42BPA	CDC42BPA
ENSMMUG00000008638		protein_coding	CDC42BPA	CDC42BPA
ENSMMUG00000008638		protein_coding	CDC42BPA	CDC42BPA
ENSMMUG00000008638		protein_coding	CDC42BPA	CDC42BPA
ENSMMUG00000008638		protein_coding	CDC42BPA	CDC42BPA
ENSMMUG00000008638		protein_coding	CDC42BPA	CDC42BPA
ENSMMUG00000016974		protein_coding	DNAH1	DNAH1
ENSMMUG00000010973		protein_coding	ZNF436	ZNF436
ENSMMUG00000010973		protein_coding	ZNF436	ZNF436
ENSMMUG00000002953		protein_coding	MAGEF1	MAGEF1
ENSMMUG00000061122		lncRNA		
ENSMMUG00000010978		protein_coding	S100A2	S100A2
ENSMMUG00000051774		protein_coding	MUL1	MUL1
ENSMMUG00000051774		protein_coding	MUL1	MUL1
ENSMMUG00000054972		lncRNA		
ENSMMUG00000052045		misc_RNA		Metazoa_SRP
ENSMMUG00000055243		lncRNA		
ENSMMUG00000022199		protein_coding	PHC3	PHC3
ENSMMUG00000022199		protein_coding	PHC3	PHC3
ENSMMUG00000022199		protein_coding	PHC3	PHC3
ENSMMUG00000022199		protein_coding	PHC3	PHC3
ENSMMUG00000022199		protein_coding	PHC3	PHC3
ENSMMUG00000022199		protein_coding	PHC3	PHC3
ENSMMUG00000022199		protein_coding	PHC3	PHC3
ENSMMUG00000022199		protein_coding	PHC3	PHC3
ENSMMUG00000022199		protein_coding	PHC3	PHC3
ENSMMUG00000019994		protein_coding	SDCCAG8	SDCCAG8
ENSMMUG00000019994		protein_coding	SDCCAG8	SDCCAG8
ENSMMUG00000019994		protein_coding	SDCCAG8	SDCCAG8
ENSMMUG00000019994		protein_coding	SDCCAG8	SDCCAG8
ENSMMUG00000019994		protein_coding	SDCCAG8	SDCCAG8
ENSMMUG00000019994		protein_coding	SDCCAG8	SDCCAG8
ENSMMUG00000019994		protein_coding	SDCCAG8	SDCCAG8
ENSMMUG00000019994		protein_coding	SDCCAG8	SDCCAG8
ENSMMUG00000019994		protein_coding	SDCCAG8	SDCCAG8
ENSMMUG00000019994		protein_coding	SDCCAG8	SDCCAG8
ENSMMUG00000050423		protein_coding		
ENSMMUG00000031655		protein_coding	S100A3	S100A3
ENSMMUG00000053265		protein_coding		
ENSMMUG00000022884		protein_coding	GLUL	GLUL
ENSMMUG00000022884		protein_coding	GLUL	GLUL
ENSMMUG00000022884		protein_coding	GLUL	GLUL
ENSMMUG00000063102		protein_coding	CAMK2N1	CAMK2N1
ENSMMUG00000010979		protein_coding	S100A4	S100A4
ENSMMUG00000015150		protein_coding	DPH2	DPH2
ENSMMUG00000015150		protein_coding	DPH2	DPH2
ENSMMUG00000015150		protein_coding	DPH2	DPH2
ENSMMUG00000015150		protein_coding	DPH2	DPH2
ENSMMUG00000010970		protein_coding	HNRNPR	HNRNPR
ENSMMUG00000010970		protein_coding	HNRNPR	HNRNPR
ENSMMUG00000010970		protein_coding	HNRNPR	HNRNPR
ENSMMUG00000010970		protein_coding	HNRNPR	HNRNPR
ENSMMUG00000010980		protein_coding	S100A5	S100A5
ENSMMUG00000064110		pseudogene		
ENSMMUG00000008917		protein_coding	S100A6	S100A6
ENSMMUG00000055701		protein_coding		
ENSMMUG00000053474		misc_RNA		Metazoa_SRP
ENSMMUG00000022886		protein_coding	TEDDM1	TEDDM1
ENSMMUG00000003262		protein_coding	PCCB	PCCB
ENSMMUG00000003262		protein_coding	PCCB	PCCB
ENSMMUG00000003262		protein_coding	PCCB	PCCB
ENSMMUG00000003262		protein_coding	PCCB	PCCB
ENSMMUG00000058556		snRNA		U6
ENSMMUG00000011221		protein_coding	FCAMR	FCAMR
ENSMMUG00000011221		protein_coding	FCAMR	FCAMR
ENSMMUG00000049444		lncRNA		
ENSMMUG00000040678		misc_RNA		Metazoa_SRP
ENSMMUG00000006022		protein_coding	VWA5B1	VWA5B1
ENSMMUG00000006022		protein_coding	VWA5B1	VWA5B1
ENSMMUG00000001803		protein_coding	GJA5	GJA5
ENSMMUG00000010961		protein_coding	CLSPN	CLSPN
ENSMMUG00000010961		protein_coding	CLSPN	CLSPN
ENSMMUG00000059457		lncRNA		
ENSMMUG00000022173		protein_coding	C1H1orf116	C1H1orf116
ENSMMUG00000047604		misc_RNA		Metazoa_SRP
ENSMMUG00000056485		protein_coding	LOC713189	
ENSMMUG00000056485		protein_coding	LOC713189	
ENSMMUG00000056485		protein_coding	LOC713189	
ENSMMUG00000032222		protein_coding	HTR1D	HTR1D
ENSMMUG00000022171		protein_coding	YOD1	YOD1
ENSMMUG00000061389		misc_RNA		Metazoa_SRP
ENSMMUG00000004833		protein_coding		
ENSMMUG00000031291		protein_coding	RGSL1	RGSL1
ENSMMUG00000031291		protein_coding	RGSL1	RGSL1
ENSMMUG00000031291		protein_coding	RGSL1	RGSL1
ENSMMUG00000004835		protein_coding		
ENSMMUG00000012185		protein_coding	ATF3	ATF3
ENSMMUG00000036025		snRNA		U6
ENSMMUG00000056752		snRNA		U6
ENSMMUG00000001349		protein_coding	CHL1	CHL1
ENSMMUG00000001349		protein_coding	CHL1	CHL1
ENSMMUG00000001349		protein_coding	CHL1	CHL1
ENSMMUG00000001349		protein_coding	CHL1	CHL1
ENSMMUG00000001349		protein_coding	CHL1	CHL1
ENSMMUG00000052576		protein_coding	GARIN4	GARIN4
ENSMMUG00000005740		protein_coding	USP24	USP24
ENSMMUG00000005740		protein_coding	USP24	USP24
ENSMMUG00000005740		protein_coding	USP24	USP24
ENSMMUG00000005740		protein_coding	USP24	USP24
ENSMMUG00000005740		protein_coding	USP24	USP24
ENSMMUG00000047853		protein_coding	LOC714943	
ENSMMUG00000045584		protein_coding	LUZP1	LUZP1
ENSMMUG00000013857		protein_coding	GCLM	GCLM
ENSMMUG00000016982		protein_coding	BAP1	BAP1
ENSMMUG00000016982		protein_coding	BAP1	BAP1
ENSMMUG00000016982		protein_coding	BAP1	BAP1
ENSMMUG00000052341		lncRNA		
ENSMMUG00000056664		snRNA		U6
ENSMMUG00000015142		protein_coding	IPO13	IPO13
ENSMMUG00000015142		protein_coding	IPO13	IPO13
ENSMMUG00000015142		protein_coding	IPO13	IPO13
ENSMMUG00000015142		protein_coding	IPO13	IPO13
ENSMMUG00000015142		protein_coding	IPO13	IPO13
ENSMMUG00000004832		lncRNA		
ENSMMUG00000022170		protein_coding	PFKFB2	PFKFB2
ENSMMUG00000022170		protein_coding	PFKFB2	PFKFB2
ENSMMUG00000022170		protein_coding	PFKFB2	PFKFB2
ENSMMUG00000035795		snRNA		U7
ENSMMUG00000038517		protein_coding	UBXN10	UBXN10
ENSMMUG00000021387		protein_coding	C1H1orf54	C1H1orf54
ENSMMUG00000015056		protein_coding	BATF3	BATF3
ENSMMUG00000015056		protein_coding	BATF3	BATF3
ENSMMUG00000044778		protein_coding	S100A8	S100A8
ENSMMUG00000052344		protein_coding	PLA2G2C	PLA2G2C
ENSMMUG00000059270		protein_coding	C1H1orf216	C1H1orf216
ENSMMUG00000061945		snRNA		U6
ENSMMUG00000064796		protein_coding	S100A12	S100A12
ENSMMUG00000006868		protein_coding	S100A9	S100A9
ENSMMUG00000008435		protein_coding	DNTTIP2	DNTTIP2
ENSMMUG00000008435		protein_coding	DNTTIP2	DNTTIP2
ENSMMUG00000049733	PLA2G2F	protein_coding	PLA2G2F	PLA2G2F
ENSMMUG00000049733	PLA2G2F	protein_coding	PLA2G2F	PLA2G2F
ENSMMUG00000049733	PLA2G2F	protein_coding	PLA2G2F	PLA2G2F
ENSMMUG00000005634		protein_coding	RNASEL	RNASEL
ENSMMUG00000006865		protein_coding	PGLYRP4	PGLYRP4
ENSMMUG00000019287		protein_coding	NSL1	NSL1
ENSMMUG00000019287		protein_coding	NSL1	NSL1
ENSMMUG00000013090		protein_coding	PSMB2	PSMB2
ENSMMUG00000058244		protein_coding		
ENSMMUG00000052239		snRNA		U6
ENSMMUG00000053940		protein_coding	PGLYRP3	PGLYRP3
ENSMMUG00000064041		lncRNA		
ENSMMUG00000032677	MIR760	miRNA		MIR760
ENSMMUG00000060204		misc_RNA		Metazoa_SRP
ENSMMUG00000053534		misc_RNA		Metazoa_SRP
ENSMMUG00000045550		protein_coding	PLA2G2D	PLA2G2D
ENSMMUG00000051554		misc_RNA		Metazoa_SRP
ENSMMUG00000022168		protein_coding	C4BPB	C4BPB
ENSMMUG00000009773		protein_coding	KDM1A	KDM1A
ENSMMUG00000009773		protein_coding	KDM1A	KDM1A
ENSMMUG00000009773		protein_coding	KDM1A	KDM1A
ENSMMUG00000042187	MIR4677	miRNA		MIR4677
ENSMMUG00000043598		protein_coding	LORICRIN	LORICRIN
ENSMMUG00000055481		protein_coding	RGS16	RGS16
ENSMMUG00000055481		protein_coding	RGS16	RGS16
ENSMMUG00000061167		protein_coding	ARTN	ARTN
ENSMMUG00000045959		protein_coding		
ENSMMUG00000019815		protein_coding	TFAP2E	TFAP2E
ENSMMUG00000031430		protein_coding	TATDN3	TATDN3
ENSMMUG00000031430		protein_coding	TATDN3	TATDN3
ENSMMUG00000031430		protein_coding	TATDN3	TATDN3
ENSMMUG00000021750		protein_coding	PRR9	PRR9
ENSMMUG00000064805		protein_coding	PLA2G5	PLA2G5
ENSMMUG00000064805		protein_coding	PLA2G5	PLA2G5
ENSMMUG00000051645		lncRNA		
ENSMMUG00000011222		protein_coding	PRKCI	PRKCI
ENSMMUG00000011222		protein_coding	PRKCI	PRKCI
ENSMMUG00000011222		protein_coding	PRKCI	PRKCI
ENSMMUG00000011222		protein_coding	PRKCI	PRKCI
ENSMMUG00000011222		protein_coding	PRKCI	PRKCI
ENSMMUG00000057430		protein_coding		
ENSMMUG00000051591		protein_coding		
ENSMMUG00000016984		protein_coding	PHF7	PHF7
ENSMMUG00000064352		protein_coding		
ENSMMUG00000059169		protein_coding	SPATA45	SPATA45
ENSMMUG00000013738		protein_coding	C4BPA	C4BPA
ENSMMUG00000013738		protein_coding	C4BPA	C4BPA
ENSMMUG00000013738		protein_coding	C4BPA	C4BPA
ENSMMUG00000008990		protein_coding	RGS8	RGS8
ENSMMUG00000008990		protein_coding	RGS8	RGS8
ENSMMUG00000021862		protein_coding	PLA2G2A	PLA2G2A
ENSMMUG00000049143		lncRNA		
ENSMMUG00000037766		misc_RNA		Metazoa_SRP
ENSMMUG00000019812		protein_coding	NCDN	NCDN
ENSMMUG00000019812		protein_coding	NCDN	NCDN
ENSMMUG00000019812		protein_coding	NCDN	NCDN
ENSMMUG00000015924		protein_coding	BCAR3	BCAR3
ENSMMUG00000015924		protein_coding	BCAR3	BCAR3
ENSMMUG00000055077		protein_coding	ZBTB8B	ZBTB8B
ENSMMUG00000050331		misc_RNA		Metazoa_SRP
