Gene stable ID	HGNC symbol	Gene type	UniProtKB Gene Name symbol	Gene name
ENSMMUG00000023296		protein_coding	PGBD2	
ENSMMUG00000036181		snRNA		U6
ENSMMUG00000000634		protein_coding	ZNF692	ZNF692
ENSMMUG00000000634		protein_coding	ZNF692	ZNF692
ENSMMUG00000037875	ZNF672	protein_coding	ZNF672	ZNF672
ENSMMUG00000000632		protein_coding	SH3BP5L	SH3BP5L
ENSMMUG00000000632		protein_coding	SH3BP5L	SH3BP5L
ENSMMUG00000000632		protein_coding	SH3BP5L	SH3BP5L
ENSMMUG00000064799		protein_coding		
ENSMMUG00000057389		protein_coding	LYPD8	LYPD8
ENSMMUG00000057389		protein_coding	LYPD8	LYPD8
ENSMMUG00000031200		protein_coding	LOC100427314	
ENSMMUG00000031200		protein_coding	LOC100427314	
ENSMMUG00000031200		protein_coding	LOC100427314	
ENSMMUG00000052613		protein_coding	LOC106995352	
ENSMMUG00000031199	OR2T27	protein_coding	OR2T27	OR2T27
ENSMMUG00000053841		protein_coding	LOC706213	
ENSMMUG00000017095		pseudogene		
ENSMMUG00000025700		Y_RNA		Y_RNA
ENSMMUG00000049101	OR2T10	protein_coding	OR2T10	OR2T10
ENSMMUG00000048289		pseudogene		
ENSMMUG00000017368		protein_coding	LOC694380	
ENSMMUG00000055842	OR14I1	protein_coding	OR14I1	OR14I1
ENSMMUG00000031198		pseudogene		
ENSMMUG00000062331	OR9G1	protein_coding	OR9G1	OR9G1
ENSMMUG00000049901		protein_coding	LOC707004	
ENSMMUG00000064657		protein_coding	LOC114677618	
ENSMMUG00000005566	OR2T1	protein_coding	OR2T1	OR2T1
ENSMMUG00000064874	OR2T6	protein_coding	OR2T6	OR2T6
ENSMMUG00000039595		protein_coding	LOC705993	
ENSMMUG00000038524	OR2M4	protein_coding	OR2M4	OR2M4
ENSMMUG00000049432		protein_coding	LOC706331	
ENSMMUG00000050812		protein_coding		
ENSMMUG00000059065		protein_coding	OR2L13	
ENSMMUG00000064763		lncRNA		
ENSMMUG00000053957		protein_coding	LOC697422	
ENSMMUG00000062908		Y_RNA		Y_RNA
ENSMMUG00000057748	OR2L2	protein_coding	LOC106995331	OR2L2
ENSMMUG00000051218		Y_RNA		Y_RNA
ENSMMUG00000050041	OR2L5	protein_coding	OR2L5	OR2L5
ENSMMUG00000052261		protein_coding	LOC100428218	
ENSMMUG00000054556		Y_RNA		Y_RNA
ENSMMUG00000060886		protein_coding	LOC697921	
ENSMMUG00000062168		protein_coding	LOC723064	
ENSMMUG00000059751		Y_RNA		Y_RNA
ENSMMUG00000018891		pseudogene		
ENSMMUG00000056262		protein_coding		
ENSMMUG00000038159	OR2W3	protein_coding	OR2W3	OR2W3
ENSMMUG00000005570		protein_coding	TRIM58	TRIM58
ENSMMUG00000006214	OR11L1	protein_coding	OR11L1	OR11L1
ENSMMUG00000056211		protein_coding		
ENSMMUG00000049478	OR9H1P	protein_coding	OR9H1P	OR9H1P
ENSMMUG00000062849	OR1C1	protein_coding	OR1C1	OR1C1
ENSMMUG00000064145	OR14K1	protein_coding	OR14K1	OR14K1
ENSMMUG00000059455	OR14A2	protein_coding	OR14A2	OR14A2
ENSMMUG00000016175	OR6F1	protein_coding	OR6F1	OR6F1
ENSMMUG00000016176	OR13G1	protein_coding	OR13G1	OR13G1
ENSMMUG00000058340		protein_coding	LOC708663	
ENSMMUG00000005955		protein_coding	GCSAML	GCSAML
ENSMMUG00000005955		protein_coding	GCSAML	GCSAML
ENSMMUG00000012954	OR2C3	protein_coding	OR2C3	OR2C3
ENSMMUG00000060427		protein_coding		
ENSMMUG00000005949	OR2B11	protein_coding	OR2B11	OR2B11
ENSMMUG00000005946		protein_coding	NLRP3	NLRP3
ENSMMUG00000052686		lncRNA		
ENSMMUG00000019585		protein_coding	ZNF496	ZNF496
ENSMMUG00000064912		Y_RNA		Y_RNA
ENSMMUG00000021266		processed_pseudogene		
ENSMMUG00000058602		protein_coding		
ENSMMUG00000059322		protein_coding	LOC709981	
ENSMMUG00000059322		protein_coding	LOC709981	
ENSMMUG00000004566		protein_coding	ZNF124	ZNF124
ENSMMUG00000004566		protein_coding	ZNF124	ZNF124
ENSMMUG00000058214		protein_coding		
ENSMMUG00000023311		protein_coding	ZNF669	
ENSMMUG00000023311		protein_coding	ZNF669	
ENSMMUG00000050290	ZNF670	protein_coding	ZNF670	ZNF670
ENSMMUG00000054567		protein_coding		
ENSMMUG00000031191		protein_coding	LOC100424371	
ENSMMUG00000031191		protein_coding	LOC100424371	
ENSMMUG00000061999		misc_RNA		Metazoa_SRP
ENSMMUG00000016408		protein_coding	AHCTF1	AHCTF1
ENSMMUG00000016408		protein_coding	AHCTF1	AHCTF1
ENSMMUG00000016408		protein_coding	AHCTF1	AHCTF1
ENSMMUG00000016408		protein_coding	AHCTF1	AHCTF1
ENSMMUG00000049281		protein_coding		
ENSMMUG00000053269		lncRNA		
ENSMMUG00000022208		protein_coding	SCCPDH	SCCPDH
ENSMMUG00000022208		protein_coding	SCCPDH	SCCPDH
ENSMMUG00000022208		protein_coding	SCCPDH	SCCPDH
ENSMMUG00000056452		lncRNA		
ENSMMUG00000050866		lncRNA		
ENSMMUG00000057881		rRNA		5S_rRNA
ENSMMUG00000062560		snRNA		U6
ENSMMUG00000064226		lncRNA		
ENSMMUG00000061675		rRNA		5S_rRNA
ENSMMUG00000053105		rRNA		5S_rRNA
ENSMMUG00000044246		misc_RNA		Metazoa_SRP
ENSMMUG00000052988		misc_RNA		Metazoa_SRP
ENSMMUG00000051199		rRNA		5S_rRNA
ENSMMUG00000058983		rRNA		5S_rRNA
ENSMMUG00000050099		rRNA		5S_rRNA
ENSMMUG00000053289		rRNA		5S_rRNA
ENSMMUG00000050167		rRNA		5S_rRNA
ENSMMUG00000054394		rRNA		5S_rRNA
ENSMMUG00000050971		lncRNA		
ENSMMUG00000026576		snRNA		U6
ENSMMUG00000050302		misc_RNA		Metazoa_SRP
ENSMMUG00000061587		snRNA		U6
ENSMMUG00000064992		misc_RNA		Metazoa_SRP
ENSMMUG00000025558		snRNA		U1
ENSMMUG00000060709		snoRNA		
ENSMMUG00000035621		snRNA		U1
ENSMMUG00000050926		Y_RNA		Y_RNA
ENSMMUG00000047025		misc_RNA		Metazoa_SRP
ENSMMUG00000051961		snRNA		U6
ENSMMUG00000056846		lncRNA		
ENSMMUG00000062726		lncRNA		
ENSMMUG00000036728		scaRNA		
ENSMMUG00000050964		misc_RNA		Metazoa_SRP
ENSMMUG00000065137		lncRNA		
ENSMMUG00000057829		Y_RNA		Y_RNA
ENSMMUG00000061941		misc_RNA		Metazoa_SRP
ENSMMUG00000054812		misc_RNA		Metazoa_SRP
ENSMMUG00000059354		snRNA		U6
ENSMMUG00000045839		misc_RNA		Metazoa_SRP
ENSMMUG00000054381		lncRNA		
ENSMMUG00000049093		misc_RNA		Metazoa_SRP
ENSMMUG00000057363		lncRNA		
ENSMMUG00000051050		lncRNA		
ENSMMUG00000054970		lncRNA		
ENSMMUG00000055981		protein_coding		
ENSMMUG00000052461		protein_coding		
ENSMMUG00000058124		protein_coding		
ENSMMUG00000060426		misc_RNA		Metazoa_SRP
ENSMMUG00000059666		snRNA		U6
ENSMMUG00000060006		snoRNA		
ENSMMUG00000025681		snRNA		U6
ENSMMUG00000062580		protein_coding		
ENSMMUG00000001382		protein_coding	GJA8	GJA8
ENSMMUG00000043586		protein_coding	ID3	ID3
ENSMMUG00000052364		protein_coding		
ENSMMUG00000052910		lncRNA		
ENSMMUG00000064896		misc_RNA		Metazoa_SRP
ENSMMUG00000060928		protein_coding		
ENSMMUG00000011380		protein_coding	CNST	CNST
ENSMMUG00000011380		protein_coding	CNST	CNST
ENSMMUG00000002585		protein_coding	CCDC190	CCDC190
ENSMMUG00000062933		lncRNA		
ENSMMUG00000059690		protein_coding		
